,Player,GP,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
90,Maurice Harkless,62,34.9,8.8,1.4,4.6,5.9,1.7,1.4,0.8,1.4,13.0
91,Abdel Nader,48,34.9,13.3,0.7,3.5,4.2,1.5,0.9,0.9,1.8,13.0
92,Nassir Little,48,34.9,10.6,1.8,4.7,6.7,1.5,0.9,0.9,0.9,12.9
93,Frank Ntilikina,57,34.9,10.6,0.7,2.9,3.5,5.0,1.5,0.5,2.0,12.9
94,Cory Joseph,64,34.9,9.2,0.9,2.9,3.6,4.9,1.0,0.4,1.5,12.8
95,Justin Jackson,58,34.9,12.4,1.1,4.4,5.2,1.7,0.4,0.4,0.4,12.7
96,Darius Bazley,53,34.9,9.1,0.8,6.7,7.5,1.0,0.8,1.4,1.6,12.4
97,Svi Mykhailiuk,56,34.9,13.9,0.5,2.5,2.9,2.9,1.1,0.2,1.7,12.4
98,Marco Belinelli,52,34.9,13.5,0.2,4.0,4.0,2.8,0.5,0.0,0.7,12.3
99,Gary Trent Jr.,53,34.9,13.4,0.7,2.3,3.0,1.6,1.2,0.3,0.7,12.2
100,Damyean Dotson,48,34.9,13.4,0.4,3.4,3.8,2.4,1.0,0.2,0.8,12.2
101,Grant Williams,62,34.9,7.8,2.0,3.8,6.0,2.2,1.1,1.1,1.6,12.1
102,Jarrett Culver,63,34.9,13.4,1.6,3.4,5.0,2.5,1.3,0.9,1.9,12.0
103,Ryan Arcidiacono,58,34.9,9.8,0.7,3.5,4.1,3.7,1.1,0.2,1.3,12.0
104,Matthew Dellavedova,57,34.9,7.5,0.7,2.4,3.2,7.8,1.0,0.0,2.4,11.9
105,Austin Rivers,60,34.9,12.7,0.6,3.0,3.6,2.4,1.0,0.3,0.9,11.9
106,Anfernee Simons,65,34.9,14.3,0.6,3.1,3.7,2.4,0.6,0.3,1.5,11.5
107,Avery Bradley,49,34.9,12.4,0.6,2.9,3.3,1.9,1.3,0.1,1.4,11.4
108,Kevin Knox II,65,34.9,12.5,0.8,4.7,5.5,1.8,0.8,0.8,1.4,11.3
109,Vince Carter,60,34.9,12.0,0.7,4.3,5.0,1.9,1.0,1.0,1.4,11.2
110,Matisse Thybulle,57,34.9,8.4,1.1,1.6,2.7,2.1,2.5,1.3,1.4,10.7
111,Frank Jackson,51,34.9,15.2,1.1,2.7,3.8,2.2,0.8,0.3,2.2,10.6
112,Wesley Matthews,62,34.9,10.6,0.4,3.1,3.7,2.1,0.8,0.1,1.0,10.6
113,Jerome Robinson,55,34.9,9.5,0.5,4.6,4.9,3.1,1.0,0.8,1.5,10.5
114,Anthony Tolliver,47,34.9,7.8,1.3,4.9,6.3,1.6,0.7,0.4,1.3,10.5
115,Semi Ojeleye,61,34.9,7.4,1.0,3.8,4.8,1.2,0.7,0.2,0.5,10.3
116,Rodney McGruder,50,34.9,7.4,1.2,4.7,6.0,1.4,1.2,0.5,0.9,10.2
117,Jordan Poole,57,34.9,13.7,0.3,3.0,3.3,3.7,0.9,0.3,2.0,10.0
118,Treveon Graham,55,34.9,9.1,1.9,3.7,5.6,1.7,0.8,0.2,1.0,9.9
119,Terrance Ferguson,50,34.9,6.3,0.7,1.5,2.2,1.3,0.7,0.4,0.9,6.3
