,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
177,Christian Wood,62,21.4,13.1,4.6,8.2,56.7,0.9,2.3,38.6,2.9,3.9,74.4,1.7,4.6,6.3,1.0,0.5,0.9,1.4,15.8
178,Markieff Morris,52,21.3,10.1,3.6,8.2,44.5,1.6,4.0,38.6,1.3,1.6,78.3,0.7,3.2,3.8,1.4,0.5,0.3,1.4,9.8
179,Malik Monk,55,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82.0,0.5,2.4,2.9,2.1,0.5,0.3,1.4,9.2
180,George Hill,52,21.2,9.6,3.4,6.5,53.0,1.4,2.9,48.0,1.3,1.6,83.1,0.9,2.1,3.0,2.9,0.8,0.1,0.9,12.1
181,Bobby Portis,66,21.1,10.1,4.0,8.9,45.0,1.0,2.8,35.8,1.1,1.4,76.3,1.2,3.9,5.1,1.5,0.5,0.3,1.1,11.1
182,Frank Ntilikina,57,20.8,6.3,2.3,5.8,39.3,0.8,2.4,32.1,0.9,1.0,86.4,0.4,1.7,2.1,3.0,0.9,0.3,1.2,7.7
183,JaMychal Green,55,20.5,6.5,2.3,5.5,41.4,1.3,3.7,36.3,0.6,0.8,72.7,1.4,5.0,6.3,0.8,0.5,0.4,0.8,10.1
184,Rajon Rondo,48,20.5,7.1,2.9,6.8,41.8,0.9,2.6,32.8,0.6,0.9,65.9,0.5,2.5,3.0,5.0,0.8,0.0,1.9,9.8
185,Marquese Chriss,59,20.3,9.3,3.6,6.5,54.5,0.1,0.7,20.5,2.0,2.6,76.9,1.9,4.3,6.2,1.9,0.7,1.1,1.3,14.2
186,Willie Cauley-Stein,54,20.3,7.2,3.2,5.6,57.9,0.0,0.0,0.0,0.7,1.2,60.6,1.6,4.3,5.8,1.3,0.9,1.1,0.7,12.8
187,Cameron Johnson,49,20.3,8.1,2.8,6.6,41.8,1.9,4.7,39.7,0.7,0.9,76.1,0.8,2.1,2.9,1.1,0.6,0.3,0.6,8.3
188,Trey Lyles,63,20.2,6.4,2.4,5.4,44.6,1.0,2.7,38.7,0.5,0.7,73.3,1.1,4.6,5.7,1.1,0.4,0.4,0.6,10.3
189,Meyers Leonard,49,20.1,6.1,2.4,4.6,52.0,1.0,2.4,42.9,0.3,0.5,65.4,0.6,4.5,5.1,1.1,0.3,0.3,0.7,9.8
190,Gary Trent Jr.,53,20.0,7.7,2.8,6.6,42.6,1.5,3.8,38.8,0.6,0.7,83.3,0.4,1.3,1.7,0.9,0.7,0.2,0.4,7.0
191,Doug McDermott,62,20.0,10.4,3.9,7.9,49.1,1.9,4.3,44.5,0.7,0.8,82.7,0.4,2.1,2.5,1.1,0.1,0.1,0.6,9.4
192,Matisse Thybulle,57,19.5,4.7,1.7,4.1,41.0,0.9,2.5,35.2,0.4,0.7,61.0,0.6,0.9,1.5,1.2,1.4,0.7,0.8,6.0
193,Bismack Biyombo,53,19.4,7.4,2.8,5.2,54.3,0.0,0.0,0.0,1.7,2.8,60.3,2.3,3.5,5.8,0.9,0.2,0.9,0.9,10.8
194,Marvin Williams,52,19.4,6.1,2.1,4.8,44.2,1.0,2.8,36.1,0.9,1.0,87.0,0.4,2.5,2.8,1.1,0.7,0.5,0.5,7.9
195,De'Anthony Melton,52,19.4,8.1,2.8,6.8,41.9,0.7,2.3,31.6,1.7,2.0,82.1,0.7,3.0,3.7,3.0,1.3,0.3,1.5,10.6
196,Brad Wanamaker,63,19.3,6.6,2.2,5.0,42.8,0.5,1.4,36.7,1.7,1.8,93.1,0.3,1.7,2.0,2.5,0.8,0.2,1.1,7.9
197,Kyle Anderson,59,19.3,5.7,2.3,4.7,49.3,0.3,1.1,25.8,0.7,1.1,65.2,0.9,3.4,4.4,2.2,0.8,0.5,0.9,9.8
198,Dwight Howard,62,19.2,7.5,3.0,4.1,73.2,0.0,0.1,60.0,1.4,2.9,49.4,2.5,4.9,7.4,0.7,0.4,1.2,1.2,13.5
199,Rondae Hollis-Jefferson,52,19.2,7.2,2.7,5.7,47.1,0.0,0.3,11.8,1.8,2.5,73.6,2.0,2.9,4.9,1.7,0.8,0.4,0.9,10.5
200,Tyus Jones,65,19.0,7.4,3.0,6.6,45.9,0.7,1.9,37.9,0.7,0.9,74.1,0.1,1.4,1.6,4.4,0.9,0.1,0.8,9.8
201,T.J. McConnell,63,18.9,6.5,3.0,5.7,51.7,0.1,0.2,33.3,0.5,0.6,83.3,0.5,2.1,2.6,5.0,0.7,0.2,1.4,10.7
202,Cody Martin,48,18.8,5.0,1.9,4.3,43.0,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2.0,0.8,0.2,0.9,7.4
203,E'Twaun Moore,51,18.8,8.6,3.4,8.0,42.4,1.2,3.1,37.5,0.6,0.8,67.4,0.6,1.8,2.4,1.4,0.5,0.2,0.7,7.5
204,Kelly Olynyk,59,18.5,7.7,2.6,5.4,47.6,1.4,3.1,43.2,1.2,1.4,85.4,0.6,3.8,4.4,1.6,0.6,0.3,1.1,10.6
205,Solomon Hill,54,18.4,5.4,1.9,4.6,40.3,1.1,2.9,37.8,0.6,0.8,71.4,0.5,2.4,2.9,1.8,0.7,0.2,0.9,7.1
206,Nerlens Noel,55,18.4,7.7,3.2,4.6,68.5,0.0,0.1,33.3,1.4,1.8,76.5,1.5,3.4,4.9,1.0,1.0,1.5,1.0,13.3
207,Pat Connaughton,61,18.3,5.1,2.0,4.3,45.6,0.7,2.2,32.1,0.4,0.6,75.0,0.9,3.3,4.2,1.6,0.3,0.5,0.8,8.4
208,Alex Len,49,18.3,8.3,3.4,6.2,55.6,0.3,1.1,25.0,1.2,1.9,63.7,1.9,4.1,6.0,1.0,0.4,0.9,1.0,12.2
209,Ivica Zubac,64,18.1,8.0,3.2,5.3,60.1,0.0,0.0,0.0,1.7,2.2,75.9,2.6,4.6,7.2,1.1,0.2,0.9,0.8,14.0
210,Omari Spellman,49,18.1,7.6,2.6,6.0,43.1,0.9,2.2,39.1,1.5,1.9,79.3,1.6,2.9,4.5,1.0,0.7,0.5,1.1,9.2
211,Jalen Brunson,57,17.9,8.2,3.2,6.8,46.6,0.8,2.1,35.8,1.1,1.3,81.3,0.4,2.0,2.4,3.3,0.4,0.1,1.2,9.2
212,Kevin Knox II,65,17.9,6.4,2.2,6.2,35.9,1.0,3.1,32.7,1.0,1.6,65.3,0.4,2.4,2.8,0.9,0.4,0.4,0.7,5.8
213,Alex Caruso,58,17.8,5.4,1.9,4.5,42.3,0.7,1.8,35.5,1.0,1.3,76.3,0.2,1.7,1.9,1.8,1.0,0.3,0.8,6.8
214,Mike Scott,63,17.8,5.7,2.1,5.1,40.8,1.2,3.2,35.8,0.4,0.5,83.3,0.9,2.7,3.6,0.8,0.3,0.1,0.4,6.9
215,Isaac Bonga,58,17.7,4.6,1.7,3.2,52.2,0.4,0.9,40.0,0.9,1.1,81.3,1.1,2.1,3.2,1.1,0.6,0.4,0.7,7.4
216,Enes Kanter,51,17.5,8.2,3.5,6.1,56.6,0.0,0.1,14.3,1.2,1.7,70.8,2.8,5.0,7.7,1.0,0.4,0.7,1.0,13.8
217,Juancho Hernangomez,48,17.4,6.0,2.1,5.1,40.5,0.9,2.7,34.1,0.9,1.5,62.0,0.9,3.2,4.1,0.8,0.4,0.2,0.7,7.2
218,Torrey Craig,50,17.4,5.0,1.9,4.2,46.2,0.7,2.2,33.0,0.4,0.6,64.5,1.0,2.2,3.1,0.7,0.4,0.6,0.4,6.9
219,Damyean Dotson,48,17.4,6.7,2.5,6.0,41.4,1.2,3.4,36.2,0.5,0.7,66.7,0.2,1.7,1.9,1.2,0.5,0.1,0.4,6.1
220,Gorgui Dieng,58,17.4,7.4,2.7,5.9,46.1,0.9,2.4,35.9,1.1,1.4,73.5,1.5,4.3,5.8,1.2,0.8,1.0,0.9,11.7
221,James Ennis III,61,17.3,6.0,2.1,4.8,43.5,0.8,2.3,33.8,1.0,1.3,80.8,1.0,2.3,3.3,0.9,0.5,0.3,0.7,7.3
222,Darius Bazley,53,17.2,4.5,1.7,4.3,38.3,0.6,1.9,30.0,0.6,0.9,68.1,0.4,3.3,3.7,0.5,0.4,0.7,0.8,6.1
223,Nicolo Melli,52,17.1,6.8,2.4,5.3,44.2,1.3,3.5,36.1,0.8,1.2,73.3,0.7,2.3,3.0,1.3,0.6,0.4,0.8,8.0
224,Terence Davis,64,17.0,7.7,2.8,6.1,46.3,1.4,3.5,39.6,0.7,0.8,86.5,0.7,2.7,3.4,1.7,0.5,0.2,1.0,9.1
225,Jaxson Hayes,56,17.0,7.5,2.8,4.2,66.0,0.0,0.1,25.0,1.9,3.1,63.0,1.5,2.5,4.0,0.9,0.4,0.9,0.7,10.4
226,Mason Plumlee,53,17.0,7.2,2.9,4.7,61.7,0.0,0.1,0.0,1.4,2.6,53.6,1.7,3.6,5.3,2.4,0.5,0.6,1.4,11.7
227,Treveon Graham,55,16.9,4.4,1.6,4.4,36.0,0.6,2.2,27.5,0.7,1.0,64.3,0.9,1.8,2.7,0.8,0.4,0.1,0.5,4.8
228,JaVale McGee,61,16.8,6.8,3.0,4.6,64.0,0.0,0.1,50.0,0.8,1.2,65.3,1.8,4.0,5.8,0.6,0.5,1.5,0.8,12.3
